title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Frankenstein Created Woman,1967,Terence Fisher,92,2164,469,3.3,4,5,15,71,141,432,349,289,46,37
Bride of the Monster,1955,Edward D. Wood Jr.,69,2919,394,2.3,97,259,206,333,226,268,101,107,17,37
DeepStar Six,1989,Sean S. Cunningham,105,4142,459,2.6,25,109,164,516,592,713,221,90,10,16
Death Race 2,2010,Roel Reiné,96,6490,354,2.3,158,368,335,665,486,584,199,116,26,47
+1,2013,Dennis Iliadis,95,2729,291,2.7,37,92,139,259,338,530,276,133,19,20
Godzilla 1985,1985,"R.J. Kizer,Koji Hashimoto",87,3722,570,3.0,10,53,57,179,281,600,313,249,52,61
Freejack,1992,Geoff Murphy,110,4821,366,2.4,49,194,237,545,458,475,175,83,18,25
Thunderbirds,2004,Jonathan Frakes,95,7255,354,1.9,289,657,517,679,311,308,100,82,9,52
Battle Angel,1993,Hiroshi Fukutomi,54,2773,573,3.3,6,8,24,79,197,486,450,335,52,74
CJ7,2008,Stephen Chow,86,6115,617,3.0,41,85,98,331,468,987,561,379,64,105
The Return of Swamp Thing,1989,Jim Wynorski,84,2841,436,2.6,39,121,135,319,251,406,158,122,11,29
2:22,2017,Paul Currie,99,3773,396,2.5,119,236,201,473,369,511,204,184,34,101
The Return of Godzilla,1984,Koji Hashimoto,103,2624,708,3.4,4,15,19,72,156,452,426,431,99,104
Universal Soldier: Regeneration,2009,John Hyams,97,4186,502,2.9,48,120,95,294,294,543,398,295,60,47
My Favorite Martian,1999,Donald Petrie,94,8305,352,2.2,124,437,373,713,462,483,134,90,11,37
Willard,1971,Daniel Mann,95,2339,388,3.1,8,21,25,108,226,527,294,175,17,26
The Lost World,1925,Harry O. Hoyt,106,2539,440,3.4,1,7,11,64,137,427,400,328,70,67
Depraved,2019,Larry Fessenden,114,1518,336,3.1,9,31,36,97,151,332,307,217,36,25
Electric Dragon 80.000 V,2001,Gakuryuu Ishii,55,1823,504,3.6,6,11,14,46,60,200,250,321,108,90
Escape from Planet Earth,2013,Callan Brunker,89,6532,301,2.1,200,482,384,687,443,499,180,104,20,36
National Theatre Live: Frankenstein,2011,"Danny Boyle,Tim Van Someren",239,2949,838,4.1,4,8,7,25,30,126,244,660,361,368
Invaders from Mars,1953,William Cameron Menzies,78,2950,466,3.0,11,34,48,189,292,518,350,222,34,38
Dr. Jekyll and Mr. Hyde,1941,Victor Fleming,113,3004,381,3.2,6,8,25,120,186,529,398,212,49,43
The Falls,1980,Peter Greenaway,195,1427,392,3.9,6,8,11,27,30,94,127,197,129,169
Colossus: The Forbin Project,1970,Joseph Sargent,100,2261,477,3.5,1,7,11,67,99,321,406,403,102,56
The Final Countdown,1980,Don Taylor,103,4295,541,3.0,9,40,70,284,382,871,418,234,38,42
Clockstoppers,2002,Jonathan Frakes,94,8497,374,2.2,124,351,417,858,558,529,134,95,20,36
Don't Let Go,2019,Jacob Aaron Estes,107,2248,372,2.8,20,48,90,312,376,465,261,169,25,47
Smash and Grab,2019,Brian Larsen,7,3734,779,3.3,3,15,24,129,205,758,664,491,82,76
The Man with the Rubber Head,1901,Georges Méliès,3,5837,760,3.5,5,16,17,61,128,496,494,546,110,181
Cherry 2000,1987,Steve De Jarnatt,99,3276,507,2.9,13,71,98,281,256,535,285,191,26,37
Revenge of the Creature,1955,Jack Arnold,82,3026,471,2.8,18,49,67,269,359,588,257,136,16,21
The Revenge of Frankenstein,1958,Terence Fisher,89,2535,534,3.4,2,7,11,70,117,453,468,355,65,54
Runaway,1984,Michael Crichton,100,4202,511,2.7,30,94,144,402,456,732,290,152,26,28
Kin-dza-dza!,1986,Georgiy Daneliya,135,1791,469,3.8,4,5,12,35,40,136,204,345,157,140
"Goke, Body Snatcher from Hell",1968,Hajime Sato,84,2137,481,3.2,14,21,26,96,158,423,344,225,45,43
Hercules in New York,1970,Arthur Allan Seidelman,91,4787,362,1.8,333,706,413,474,203,254,63,50,6,57
